"gene1","gene2","FisherExactTest.p_value"
"ZNF57","KMT2C",0.00762281197063806
"ZNF678","KMT2C",0.00762281197063806
"ZNF814","KMT2C",0.00762281197063806
"ZNF878","KMT2C",0.00762281197063806
"FBLN1","CUBN",0.00874125874125874
"CUBN","FBLN1",0.00874125874125874
"KMT2C","NEB",0.00893100458317851
"NEB","KMT2C",0.00893100458317851
"SPEN","MYCBP2",0.00935754345049696
"MYCBP2","SPEN",0.00935754345049697
"IRS4","DNAH8",0.0101010101010101
"IRS4","LAMA3",0.0101010101010101
"IRS4","MYCBP2",0.0101010101010101
"IRS4","TG",0.0101010101010101
"MYCBP2","FBLN1",0.0101010101010101
"MYCBP2","IRS4",0.0101010101010101
"DNAH8","IRS4",0.0101010101010101
"FBLN1","MYCBP2",0.0101010101010101
"LAMA3","IRS4",0.0101010101010101
"TG","IRS4",0.0101010101010101
"DNAH8","SPEN",0.0105716372582939
"LAMA3","SPEN",0.0105716372582939
"TG","SPEN",0.0105716372582939
"SPEN","DNAH8",0.0105716372582939
"SPEN","LAMA3",0.0105716372582939
"SPEN","TG",0.0105716372582939
"BLM","CUBN",0.010989010989011
"CUBN","BLM",0.010989010989011
"CUBN","PSD3",0.010989010989011
"CUBN","ZNF93",0.010989010989011
"PSD3","CUBN",0.010989010989011
"ZNF93","CUBN",0.010989010989011
"FRG1B","KMT2C",0.0118023293855918
"KMT2C","FRG1B",0.0118023293855918
"SPEN","DST",0.0119883606583805
"SPEN","SYNE1",0.0119883606583805
"DST","SPEN",0.0119883606583805
"SYNE1","SPEN",0.0119883606583805
"TYRO3","AHNAK2",0.0128205128205128
"TYRO3","DYNC1H1",0.0128205128205128
"TYRO3","FAM47C",0.0128205128205128
"TYRO3","FRY",0.0128205128205128
"TYRO3","MUC17",0.0128205128205128
"TYRO3","PCLO",0.0128205128205128
"TYRO3","VPS13D",0.0128205128205128
"TYRO3","ZNF479",0.0128205128205128
"TYRO3","ZNF708",0.0128205128205128
"AGO3","TYRO3",0.0128205128205128
"ARID4B","TYRO3",0.0128205128205128
"BOD1L1","TYRO3",0.0128205128205128
"BRWD1","TYRO3",0.0128205128205128
"C17orf70","TYRO3",0.0128205128205128
"CACNA1G","TYRO3",0.0128205128205128
"DNAH9","TYRO3",0.0128205128205128
"EIF2AK4","TYRO3",0.0128205128205128
"FLNB","TYRO3",0.0128205128205128
"FRMPD1","TYRO3",0.0128205128205128
"IMMT","TYRO3",0.0128205128205128
"KALRN","TYRO3",0.0128205128205128
"KIAA0922","TYRO3",0.0128205128205128
"KIAA1377","TYRO3",0.0128205128205128
"LCT","TYRO3",0.0128205128205128
"MAGEC1","TYRO3",0.0128205128205128
"MYH1","TYRO3",0.0128205128205128
"MYH15","TYRO3",0.0128205128205128
"MYH4","TYRO3",0.0128205128205128
"PAN2","TYRO3",0.0128205128205128
"POLR2A","TYRO3",0.0128205128205128
"ROBO2","TYRO3",0.0128205128205128
"TATDN2","TYRO3",0.0128205128205128
"TRIP11","TYRO3",0.0128205128205128
"TYRO3","AGO3",0.0128205128205128
"TYRO3","ARID4B",0.0128205128205128
"TYRO3","BOD1L1",0.0128205128205128
"TYRO3","BRWD1",0.0128205128205128
"TYRO3","C17orf70",0.0128205128205128
"TYRO3","CACNA1G",0.0128205128205128
"TYRO3","DNAH9",0.0128205128205128
"TYRO3","EIF2AK4",0.0128205128205128
"TYRO3","FLNB",0.0128205128205128
"TYRO3","FRMPD1",0.0128205128205128
"TYRO3","IMMT",0.0128205128205128
"TYRO3","KALRN",0.0128205128205128
"TYRO3","KIAA0922",0.0128205128205128
"TYRO3","KIAA1377",0.0128205128205128
"TYRO3","LCT",0.0128205128205128
"TYRO3","MAGEC1",0.0128205128205128
"TYRO3","MYH1",0.0128205128205128
"TYRO3","MYH15",0.0128205128205128
"TYRO3","MYH4",0.0128205128205128
"TYRO3","PAN2",0.0128205128205128
"TYRO3","POLR2A",0.0128205128205128
"TYRO3","ROBO2",0.0128205128205128
"TYRO3","TATDN2",0.0128205128205128
"TYRO3","TRIP11",0.0128205128205128
"TYRO3","VCAN",0.0128205128205128
"TYRO3","ZFP36L1",0.0128205128205128
"TYRO3","ZNF780A",0.0128205128205128
"TYRO3","ZZEF1",0.0128205128205128
"VCAN","TYRO3",0.0128205128205128
"ZFP36L1","TYRO3",0.0128205128205128
"ZNF780A","TYRO3",0.0128205128205128
"ZZEF1","TYRO3",0.0128205128205128
"AHNAK2","TYRO3",0.0128205128205128
"DYNC1H1","TYRO3",0.0128205128205128
"FAM47C","TYRO3",0.0128205128205128
"FRY","TYRO3",0.0128205128205128
"MUC17","TYRO3",0.0128205128205128
"PCLO","TYRO3",0.0128205128205128
"VPS13D","TYRO3",0.0128205128205128
"ZNF479","TYRO3",0.0128205128205128
"ZNF708","TYRO3",0.0128205128205128
"ZNF91","TYRO3",0.0130569390227487
"TYRO3","ZNF91",0.0130569390227487
"KMT2C","ZNF208",0.0131770343116283
"ZNF208","KMT2C",0.0131770343116283
"DCC","KMT2C",0.0148148148148148
"KMT2C","DCC",0.0148148148148148
"KMT2C","ZNF737",0.0148148148148148
"ZNF737","KMT2C",0.0148148148148148
"BIRC6","IRS4",0.0152200740436035
"RB1","IRS4",0.0152200740436035
"XIRP2","IRS4",0.0152200740436035
"IRS4","BIRC6",0.0152200740436035
"IRS4","RB1",0.0152200740436035
"IRS4","XIRP2",0.0152200740436035
"ARHGAP39","KMT2C",0.0162055335968379
"ASTN1","KMT2C",0.0162055335968379
"DNAH11","KMT2C",0.0162055335968379
"KMT2C","ARHGAP39",0.0162055335968379
"KMT2C","ASTN1",0.0162055335968379
"KMT2C","DNAH11",0.0162055335968379
"KMT2C","MDC1",0.0162055335968379
"KMT2C","MUC4",0.0162055335968379
"KMT2C","PDZRN4",0.0162055335968379
"KMT2C","RAI14",0.0162055335968379
"KMT2C","UBR2",0.0162055335968379
"KMT2C","ZNF521",0.0162055335968379
"MDC1","KMT2C",0.0162055335968379
"MUC4","KMT2C",0.0162055335968379
"PDZRN4","KMT2C",0.0162055335968379
"RAI14","KMT2C",0.0162055335968379
"UBR2","KMT2C",0.0162055335968379
"ZNF521","KMT2C",0.0162055335968379
"SPEN","BIRC6",0.0166194322193742
"SPEN","RB1",0.0166194322193742
"SPEN","XIRP2",0.0166194322193742
"BIRC6","SPEN",0.0166194322193742
"RB1","SPEN",0.0166194322193742
"XIRP2","SPEN",0.0166194322193742
"ACIN1","TYRO3",0.016640866873065
"PIK3CA","TYRO3",0.016640866873065
"SYNE2","TYRO3",0.016640866873065
"TYRO3","ACIN1",0.016640866873065
"TYRO3","PIK3CA",0.016640866873065
"TYRO3","SYNE2",0.016640866873065
"DST","FBLN1",0.0197666110978804
"DST","IRS4",0.0197666110978804
"IRS4","DST",0.0197666110978804
"IRS4","SYNE1",0.0197666110978804
"SYNE1","FBLN1",0.0197666110978804
"SYNE1","IRS4",0.0197666110978804
"FBLN1","DST",0.0197666110978804
"FBLN1","SYNE1",0.0197666110978804
"TP53","CUBN",0.019793999104344
"CUBN","TP53",0.019793999104344
"ARHGAP21","SPEN",0.0220735785953177
"CNTRL","SPEN",0.0220735785953177
"DIDO1","SPEN",0.0220735785953177
"KDM6A","SPEN",0.0220735785953177
"MAST4","SPEN",0.0220735785953177
"PRG4","SPEN",0.0220735785953177
"RNF213","SPEN",0.0220735785953177
"SRCAP","SPEN",0.0220735785953177
"SZT2","SPEN",0.0220735785953177
"SPEN","ARHGAP21",0.0220735785953177
"SPEN","CNTRL",0.0220735785953177
"SPEN","DIDO1",0.0220735785953177
"SPEN","KDM6A",0.0220735785953177
"SPEN","MAST4",0.0220735785953177
"SPEN","PRG4",0.0220735785953177
"SPEN","RNF213",0.0220735785953177
"SPEN","SRCAP",0.0220735785953177
"SPEN","SZT2",0.0220735785953177
"CUBN","KIAA0947",0.022977022977023
"CUBN","MUC5B",0.022977022977023
"CUBN","RC3H2",0.022977022977023
"CUBN","RICTOR",0.022977022977023
"CUBN","ZNF99",0.022977022977023
"KIAA0947","CUBN",0.022977022977023
"MUC5B","CUBN",0.022977022977023
"RC3H2","CUBN",0.022977022977023
"RICTOR","CUBN",0.022977022977023
"ZNF99","CUBN",0.022977022977023
"ZNF430","TYRO3",0.0237358101135191
"TYRO3","ZNF430",0.0237358101135191
"KMT2C","ZNF91",0.0247894485936755
"ZNF91","KMT2C",0.0247894485936755
"FAT4","IRS4",0.024818318935966
"ZNF626","IRS4",0.024818318935966
"IRS4","FAT4",0.024818318935966
"IRS4","ZNF626",0.024818318935966
"ARHGAP21","IRS4",0.0256410256410256
"BLM","MYCBP2",0.0256410256410256
"CNTRL","IRS4",0.0256410256410256
"DIDO1","IRS4",0.0256410256410256
"IRS4","ARHGAP21",0.0256410256410256
"IRS4","CNTRL",0.0256410256410256
"IRS4","DIDO1",0.0256410256410256
"IRS4","KDM6A",0.0256410256410256
"IRS4","MAST4",0.0256410256410256
"IRS4","PRG4",0.0256410256410256
"IRS4","RNF213",0.0256410256410256
"IRS4","SRCAP",0.0256410256410256
"IRS4","SZT2",0.0256410256410256
"KDM6A","IRS4",0.0256410256410256
"MAST4","IRS4",0.0256410256410256
"MYCBP2","BLM",0.0256410256410256
"MYCBP2","PSD3",0.0256410256410256
"MYCBP2","ZNF93",0.0256410256410256
"PRG4","IRS4",0.0256410256410256
"PSD3","MYCBP2",0.0256410256410256
"RNF213","IRS4",0.0256410256410256
"SRCAP","IRS4",0.0256410256410256
"SZT2","IRS4",0.0256410256410256
"ZNF93","MYCBP2",0.0256410256410256
"SPEN","KMT2D",0.0263966445230652
"KMT2D","SPEN",0.0263966445230652
"TYRO3","ALMS1",0.0276341305753071
"TYRO3","DSP",0.0276341305753071
"TYRO3","FLG2",0.0276341305753071
"TYRO3","LAMA2",0.0276341305753071
"TYRO3","LAMA5",0.0276341305753071
"TYRO3","MKI67",0.0276341305753071
"TYRO3","NLRC5",0.0276341305753071
"TYRO3","PLEC",0.0276341305753071
"TYRO3","USP31",0.0276341305753071
"ALMS1","TYRO3",0.0276341305753071
"DSP","TYRO3",0.0276341305753071
"FLG2","TYRO3",0.0276341305753071
"LAMA2","TYRO3",0.0276341305753071
"LAMA5","TYRO3",0.0276341305753071
"MKI67","TYRO3",0.0276341305753071
"NLRC5","TYRO3",0.0276341305753071
"PLEC","TYRO3",0.0276341305753071
"USP31","TYRO3",0.0276341305753071
"CDH1","KMT2C",0.0277591973244147
"CSMD2","KMT2C",0.0277591973244147
"DNAH10","KMT2C",0.0277591973244147
"PRPF8","KMT2C",0.0277591973244147
"RIF1","KMT2C",0.0277591973244147
"RYR1","KMT2C",0.0277591973244147
"ZNF43","KMT2C",0.0277591973244147
"ZNF714","KMT2C",0.0277591973244147
"ZNF90","KMT2C",0.0277591973244147
"KMT2C","CDH1",0.0277591973244147
"KMT2C","CSMD2",0.0277591973244147
"KMT2C","DNAH10",0.0277591973244147
"KMT2C","PRPF8",0.0277591973244147
"KMT2C","RIF1",0.0277591973244147
"KMT2C","RYR1",0.0277591973244147
"KMT2C","ZNF43",0.0277591973244147
"KMT2C","ZNF714",0.0277591973244147
"KMT2C","ZNF90",0.0277591973244147
"CUBN","TTN",0.0278611315877167
"TTN","CUBN",0.0278611315877167
"ARHGAP21","FBLN1",0.0291375291375291
"BLM","DNAH8",0.0291375291375291
"BLM","LAMA3",0.0291375291375291
"BLM","TG",0.0291375291375291
"CNTRL","FBLN1",0.0291375291375291
"DIDO1","FBLN1",0.0291375291375291
"DNAH8","BLM",0.0291375291375291
"DNAH8","PSD3",0.0291375291375291
"DNAH8","ZNF93",0.0291375291375291
